City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Peterhead,GB,2021-12-13 00:44:52,57.5058,-1.7981,53.11,83,100,33.06,overcast clouds
189,Namibe,AO,2021-12-13 00:36:27,-15.1961,12.1522,70.2,81,100,6.02,overcast clouds
190,Quatre Cocos,MU,2021-12-13 00:36:30,-20.2078,57.7625,73.51,71,22,12.28,few clouds
191,Cap Malheureux,MU,2021-12-13 00:44:52,-19.9842,57.6142,73.89,76,8,3.0,clear sky
192,Vestmanna,FO,2021-12-13 00:44:53,62.1564,-7.1664,38.32,87,90,6.91,overcast clouds
193,Puerto Montt,CL,2021-12-13 00:42:18,-41.4698,-72.9447,54.43,71,75,5.75,broken clouds
194,Touros,BR,2021-12-13 00:37:01,-5.1989,-35.4608,81.5,77,51,15.79,broken clouds
195,Taki,IN,2021-12-13 00:44:54,22.5861,88.9214,62.55,54,4,5.57,clear sky
196,Kruisfontein,ZA,2021-12-13 00:34:52,-34.0033,24.7314,67.89,97,100,8.34,light rain
197,Rio Grande,BR,2021-12-13 00:44:55,-32.035,-52.0986,71.71,77,0,15.77,clear sky
198,Sao Gabriel Da Cachoeira,BR,2021-12-13 00:37:02,-0.1303,-67.0892,74.95,97,100,0.49,moderate rain
199,Boleslawiec,PL,2021-12-13 00:44:55,51.2642,15.5697,38.17,95,100,7.4,overcast clouds
200,La Primavera,CO,2021-12-13 00:44:55,5.4906,-70.4092,80.53,59,45,5.95,scattered clouds
201,Naples,IT,2021-12-13 00:43:19,40.8333,14.25,47.75,65,0,1.01,clear sky
202,Bokony,HU,2021-12-13 00:44:57,47.7333,21.75,33.46,82,100,14.0,overcast clouds
203,Olean,US,2021-12-13 00:44:57,42.0776,-78.4297,39.88,55,1,5.75,clear sky
204,Pimentel,PE,2021-12-13 00:38:00,-6.8367,-79.9342,67.17,85,96,9.55,overcast clouds
205,Golkoy,TR,2021-12-13 00:44:58,40.6875,37.6178,38.61,45,1,10.16,clear sky
206,Qaqortoq,GL,2021-12-13 00:42:28,60.7167,-46.0333,16.3,80,99,7.9,overcast clouds
207,Veraval,IN,2021-12-13 00:44:59,20.9,70.3667,71.73,60,0,8.25,clear sky
208,Arinos,BR,2021-12-13 00:44:59,-15.9169,-46.1056,72.97,94,100,2.51,overcast clouds
209,Lafiagi,NG,2021-12-13 00:44:59,8.8667,5.4167,76.95,24,62,3.33,broken clouds
210,Takoradi,GH,2021-12-13 00:33:17,4.8845,-1.7554,79.86,85,26,6.62,scattered clouds
211,Imbituba,BR,2021-12-13 00:42:16,-28.24,-48.6703,75.81,95,0,6.06,clear sky
212,Porto Novo,BJ,2021-12-13 00:45:00,6.4965,2.6036,84.02,84,16,4.52,few clouds
213,Seara,PT,2021-12-13 00:45:00,41.1818,-7.8003,50.95,82,7,3.56,clear sky
214,Kokstad,ZA,2021-12-13 00:45:01,-30.5472,29.4241,59.5,87,100,2.59,overcast clouds
215,Mednogorsk,RU,2021-12-13 00:45:01,51.4128,57.595,5.31,83,5,3.56,clear sky
216,Bandarbeyla,SO,2021-12-13 00:37:16,9.4942,50.8122,75.9,78,10,20.4,clear sky
217,Porto Santo,PT,2021-12-13 00:35:31,33.072,-16.3415,62.51,94,40,5.75,scattered clouds
218,Los Llanos De Aridane,ES,2021-12-13 00:35:42,28.6585,-17.9182,62.35,80,75,5.99,broken clouds
219,Turbat,PK,2021-12-13 00:45:02,26.0023,63.044,62.04,23,5,7.36,clear sky
220,Westport,US,2021-12-13 00:33:30,41.1415,-73.3579,46.22,51,1,5.01,clear sky
221,Faya,SA,2021-12-13 00:45:02,18.3851,42.4509,45.12,45,0,3.15,clear sky
